PM2.5 (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s),Month,AQI_Label
0.7581810736939774,-0.4188321901180578,-0.23962308720898412,0.3989875086911307,-0.6870707405602268,0.05385362180453744,-0.8552733806063422,-0.4011365643543938,-1.3461172902688276,-2.1103764403866507,0.667172237050499,-0.29498436127838107,-1.790802792453144,0.773675175845279,-0.8827928315724372,-0.318858385409125,-0.6940846358568565,1.8828007342023865,0.751085961427979,-1.5975912769319311,5
0.7342906487057919,-0.49780731003162737,-0.2526296622426586,0.6227019250584607,-0.8084466812190441,-0.04060214323211364,-0.8347502619814019,-0.4346771739088764,-1.3482783908377787,-2.1352814734441816,0.667172237050499,-0.16858349884026533,-1.7979892986807116,0.7774190208383216,-0.9022094948567826,-0.318858385409125,-0.6937356231708034,1.8781367111306435,0.7846311783592942,-1.5975912769319311,5
0.6761909297204404,-0.4149931217889259,-0.21421489411994568,0.39521704099954635,-0.6850135212270265,-0.009116888219896615,-0.8440057860671591,0.21936471240353286,-1.3288284857172197,-2.143583151130025,1.9562689458755116,0.5700715410324733,-1.806373555946207,0.776349350840309,-0.8633761682880918,0.12258880965544804,-0.6928979927242758,1.8828007342023865,0.751085961427979,-1.5975912769319311,5
0.6483748480440555,-0.4835479133805663,-0.27108085008112703,0.6201882799307383,-0.9545092538762651,-0.05634477073822215,-0.8512492396994911,0.1858241028490503,-1.3439561896998766,-2.0190579858423723,2.105260022774885,0.6293219453003398,-1.8123623111358467,0.7704661658512427,-0.9022094948567826,0.3525586158920963,-0.6926885851126439,1.8765820367733959,0.751085961427979,-1.5975912769319311,5
0.6184276955940771,-0.5109698300172224,-0.27289572101605847,0.4115557343297449,-0.9565664732094653,-0.04060214323211364,-0.8568830369690825,-0.37598110718853206,-1.39366150278575,-1.9900021139419197,0.29145560834773143,-0.08168290591406073,-1.8195488173634142,0.7693964958532309,-0.6303762088759476,-0.3411441192093787,-0.693037597798697,1.8563712701291586,0.7175407444966637,-1.5975912769319311,5
0.6416451508642852,-0.5844605666034608,-0.2922543443219926,0.09357962567280968,-0.9565664732094653,-0.11931528076265621,-0.8154343856285167,-0.5352990025723241,-1.400144804492603,-1.9983037916277635,-0.30450869924976165,-0.2989343882295722,-1.8303285767047657,0.7779538558373271,-0.6692095354446383,-0.2297154502081156,-0.6931074003359077,1.8765820367733959,0.6839955275653483,-1.5975912769319311,5
0.6308776353766523,-0.7051169998047481,-0.36545413869755605,-0.001938889180656737,-0.9565664732094653,-0.19802841829319878,-0.8528588960622315,-0.5017583930178415,-0.7107537229972294,-2.0107563081565285,0.20076538762637397,-0.03033255554857627,-1.8435038381219726,0.7822325358293752,-0.6692095354446383,-0.6488769114724376,-0.6937356231708034,1.9247769418481087,0.6839955275653483,-1.5975912769319311,5
0.5651509262542276,-0.754476449750729,-0.3663615741650218,-0.07106413019303358,-0.9935964212070705,-0.19802841829319878,-0.8613095919666186,-0.560454459738186,-0.6361957533684195,-2.0066054693136066,0.17485389599170034,-0.10538306762120744,-1.8554813485012518,0.779023525835339,-0.6497928721602929,-0.6251686840253605,-0.6723760467843495,1.9760811956373345,0.7175407444966637,-1.5975912769319311,5
0.5236511269789761,-0.789576503045649,-0.38481276200349024,-0.07986188814006344,-0.9401087185438629,-0.2924841833298495,-0.8496395833367506,-0.719772355121978,-1.325586834863793,-2.0149071469994504,-0.36928742833644573,-0.3700348733510122,-1.8518880953874681,0.7399805709078996,-0.708042862013329,-1.3274063810077823,-0.5664157952986074,2.0227214263547997,0.7846311783592942,-1.5975912769319311,5
0.5448496730952532,-0.7500889430888641,-0.362731832295159,0.10363420618370159,-0.9174793058786599,-0.2924841833298495,-0.8295188788024954,-0.8120090313968048,-0.5605572334551339,-2.1062256015437293,-0.7644376757652186,-0.5635861939593768,-1.8243398215151259,0.660290156056001,-0.7857095151507105,0.001676849675355995,-0.3764132890112624,2.0662523083577873,0.8181763952906096,-1.5975912769319311,5
